price_usd,expenses_ars,address,total_area_m2,covered_area_m2,rooms,bathrooms,description
90000,100000,Paseo de los Poetas. Gorriti 0,79.06,79.06,3,1,DEPARTAMENTO 2 DORM VENTA ZONA CENTRO CON BALCON
49000,9000,Zona Estadio Delmi. República de Siria 1200,39.77,39.77,2,1,DEPARTAMENTO 1DORMITORIO VENTA MACROCENTRO COCHERA
62000,N/A,Zona Estadio Delmi. República de Siria 1200,53,53,3,1,DEPARTAMENTO 2 DORM VENTA MACROCENTRO COCHERA
45500,N/A,Zona Macrocentro. República de Siria 1200,36,36,2,1,DEPARTAMENTO 1DORMITORIO VENTA MACROCENTRO COCHERA
82000,65000,Microcentro. Belgrano 900,106.12,84.02,6,2,DEPARTAMENTO 3 DORMITORIOS VENTA CENTRO 106 M2
142000,15000,Macrocentro. Balcarce 1200,96.4,96.4,4,1,DEPARTAMENTO 2 DORM VENTA MACROCENTO CON COCHERA
80000,45000,Microcentro. Plaza 9 de Julio. Caseros 500,71.35,71.35,4,1,DEPARTAMENTO 2 DOR VENTA FRENTE A PLAZA 9 DE JULIO
110000,15000,Zona Shopping Portal Salta. Balcarce 1200,84.83,84.83,4,1,DEPARTAMENTO 2 DORM VENTA ZONA JUMBO
65000,35000,Macrocentro. Maipú 900,72.89,67.66,3,1,DEPARTAMENTO 2 DORM VENTA MACROCENTRO CON COCHERA
93000,43000,Macrocentro. Alberdi 700,95,87,4,1,DEPARTAMENTO 3 DORM VENTA MACROCENTRO CON COCHERA
95000,45000,Centro. Urquiza 100,96.74,93.25,4,2,DEPARTAMENTO 2 DORM VENTA ZONA CENTRO CON COCHERA
50000,3600,Parque Belgrano. Etapa 0,93.03,78.46,4,1,DEPARTAMENTO 3 DORMITORIOS VENTA PARQUE BELGRANO
Solicitar precio,N/A,Zona Shopping. Alsina 300,27.33,27.33,1,1,MONOAMBIENTE VENTA AYRES VERDES APTO TURISMO
50000,N/A,Avenida San Martín 800,53.96,53.96,3,1,VENTA DEPARTAMENTO CENTRO SOBRE AVENIDA 2 DORM
